Union/Municipalities,Upzila,District,Division,Country,AREA_SQKM
Kutubpur,Chuadanga Sadar,Chuadanga,Khulna,Bangladesh,42.48196027
Kutubpur,Meherpur Sadar,Meherpur,Khulna,Bangladesh,55.60142279
Kutubpur,Sariakandi,Bogra,Rajshahi,Bangladesh,19.62436363
Kutubpur,Badarganj,Rangpur,Rangpur,Bangladesh,27.47261052
Kutuk Chhari,Rangamati Sadar,Rangamati,Chittagong,Bangladesh,55.89939189
Kytola,Bera,Pabna,Rajshahi,Bangladesh,10.15304233
Labsa,Satkhira Sadar,Satkhira,Khulna,Bangladesh,21.70679904
Laharkandi,Lakshmipur Sadar,Lakshmipur,Chittagong,Bangladesh,20.39553518
Lahiri Para,Bogra Sadar,Bogra,Rajshahi,Bangladesh,17.9864785
Lahuria,Lohagara,Narail,Khulna,Bangladesh,32.08376546
Lakhai,Lakhai,Habiganj,Sylhet,Bangladesh,48.17269791
Lakher Para,Ghatail,Tangail,Dhaka,Bangladesh,18.35261359
Lakhpur,Fakirhat,Bagerhat,Khulna,Bangladesh,19.0181081
Lakhyarchar,Chakaria,Cox's Bazar,Chittagong,Bangladesh,4.679398277
Laksam,Laksam,Comilla,Chittagong,Bangladesh,11.28135962
Laksam Paurashava,Laksam,Comilla,Chittagong,Bangladesh,20.05160153
Lakshanaband,Golabganj,Sylhet,Sylhet,Bangladesh,37.93660399
Lakshmanpur,Manoharganj,Comilla,Chittagong,Bangladesh,11.74043859
Lakshmanpur,Sharsha,Jessore,Khulna,Bangladesh,26.04229246
Lakshmanpur,Sherpur Sadar,Sherpur,Mymensingh,Bangladesh,18.89496659
Lakshmansree,Sunamganj Sadar,Sunamganj,Sylhet,Bangladesh,33.67952129
Lakshmi Chap,Nilphamari Sadar,Nilphamari,Rangpur,Bangladesh,22.96643652
Lakshmi Pasha,Golabganj,Sylhet,Sylhet,Bangladesh,18.94566217
Lakshmichhari,Lakshmichhari,Khagrachhari,Chittagong,Bangladesh,89.60319121
Lakshmiganj,Netrokona Sadar,Netrakona,Mymensingh,Bangladesh,20.76837107
Lakshmikundi,Ishwardi,Pabna,Rajshahi,Bangladesh,67.09112023
Lakshmipasha,Lohagara,Narail,Khulna,Bangladesh,20.42418409
Lakshmipur,Barura,Comilla,Chittagong,Bangladesh,13.14354201
Lakshmipur,Kalkini,Madaripur,Dhaka,Bangladesh,21.08373458
Lakshmipur,Atgharia,Pabna,Rajshahi,Bangladesh,41.22020512
Lakshmipur,Gaibandha Sadar,Gaibandha,Rangpur,Bangladesh,22.39359567
Lakshmipur,Dowarabazar,Sunamganj,Sylhet,Bangladesh,32.48187426
Lakshmipur Kholabaria,Natore Sadar,Natore,Rajshahi,Bangladesh,26.96214023
Lakshmipur Paurashava,Lakshmipur Sadar,Lakshmipur,Chittagong,Bangladesh,17.28121614
Lakshmir Char,Jamalpur Sadar,Jamalpur,Mymensingh,Bangladesh,27.76642334
Lakshmitari,Gangachara,Rangpur,Rangpur,Bangladesh,25.89550872
Lal Pur,Ashuganj,Brahamanbaria,Chittagong,Bangladesh,7.460523001
Lala Bazar,Dakshin Surma,Sylhet,Sylhet,Bangladesh,20.62236315
Lalanagar,Rangunia,Chittagong,Chittagong,Bangladesh,6.229415971
Lalmohan,Lalmohan,Bhola,Barisal,Bangladesh,12.75367746
Lalore,Singra,Natore,Rajshahi,Bangladesh,30.23037089
Lalpur,Lalpur,Natore,Rajshahi,Bangladesh,45.63369964
Lalua,Kala Para,Patuakhali,Barisal,Bangladesh,44.27866404
Lama,Lama,Bandarban,Chittagong,Bangladesh,117.6703081
Lama Kazi,Bishwanath,Sylhet,Sylhet,Bangladesh,26.40941678
Lama Paurashava,Lama,Bandarban,Chittagong,Bangladesh,7.586878536
Lamatashi,Bahubal,Habiganj,Sylhet,Bangladesh,22.38812461
Lamchar,Ramganj,Lakshmipur,Chittagong,Bangladesh,16.09997256
Langadu,Langadu,Rangamati,Chittagong,Bangladesh,111.4085216
Langair,Gaffargaon,Mymensingh,Mymensingh,Bangladesh,27.24239596
Laskar,Paikgachha,Khulna,Khulna,Bangladesh,42.04582496
Laskardia,Nagarkanda,Faridpur,Dhaka,Bangladesh,26.49445215
Laskarpur,Habiganj Sadar,Habiganj,Sylhet,Bangladesh,13.06711326
Lata,Mehendiganj,Barisal,Barisal,Bangladesh,26.01397073
Lata,Paikgachha,Khulna,Khulna,Bangladesh,48.11513138
Lata Chapli,Kala Para,Patuakhali,Barisal,Bangladesh,51.64784585
Latabdi,Serajdikhan,Munshiganj,Dhaka,Bangladesh,14.86644468
Latibabad,Kishoreganj Sadar,Kishoreganj,Dhaka,Bangladesh,11.19177129
Latiban,Panchhari,Khagrachhari,Chittagong,Bangladesh,74.0446396
Latifpur,Gopalganj Sadar,Gopalganj,Dhaka,Bangladesh,6.383161248
Latifpur,Mirzapur,Tangail,Dhaka,Bangladesh,15.87043836
Latifpur,Mitha Pukur,Rangpur,Rangpur,Bangladesh,30.91165152
Laudubi,Dacope,Khulna,Khulna,Bangladesh,13.37863456
Lauhati,Delduar,Tangail,Dhaka,Bangladesh,26.06313197
Laukati,Patuakhali Sadar,Patuakhali,Barisal,Bangladesh,32.05398026
Laur Fatehpur,Nabinagar,Brahamanbaria,Chittagong,Bangladesh,16.39928764
Lauta,Beani Bazar,Sylhet,Sylhet,Bangladesh,20.22121482
Lebukhali,Dumki,Patuakhali,Barisal,Bangladesh,28.61087159
Lebutala,Manohardi,Narsingdi,Dhaka,Bangladesh,21.79383545
Lebutala,Kotwali,Jessore,Khulna,Bangladesh,22.62628673
Lehemba,Ranisankail,Thakurgaon,Rangpur,Bangladesh,35.61109513
Lelang,Fatikchhari,Chittagong,Chittagong,Bangladesh,43.29134182
Lemsikhali,Kutubdia,Cox's Bazar,Chittagong,Bangladesh,14.6358681
Lemua,Feni Sadar,Feni,Chittagong,Bangladesh,13.67635746
Lengura,Kalmakanda,Netrakona,Mymensingh,Bangladesh,35.0030523
Lengura,Gowainghat,Sylhet,Sylhet,Bangladesh,81.12761301
Lesraganj,Harirampur,Manikganj,Dhaka,Bangladesh,37.90621041
Logang,Panchhari,Khagrachhari,Chittagong,Bangladesh,130.8499838
Lohagara,Lohagara,Chittagong,Chittagong,Bangladesh,11.20068406
Lohagara,Lohagara,Narail,Khulna,Bangladesh,5.713519695
Lohagara Paurashava,Lohagara,Narail,Khulna,Bangladesh,6.049913612
Lohajang Teotia,Lohajang,Munshiganj,Dhaka,Bangladesh,13.79630693
Lohajuri,Katiadi,Kishoreganj,Dhaka,Bangladesh,12.7306993
Lohalia,Patuakhali Sadar,Patuakhali,Barisal,Bangladesh,29.6344572
Lohani Para,Badarganj,Rangpur,Rangpur,Bangladesh,35.01263463
Loneshwar,Atpara,Netrakona,Mymensingh,Bangladesh,31.27151428
Lord Hardinje,Lalmohan,Bhola,Barisal,Bangladesh,38.89621983
Lukhra,Habiganj Sadar,Habiganj,Sylhet,Bangladesh,32.8743091
Luter Char,Meghna,Comilla,Chittagong,Bangladesh,12.34783255
M.Baliatali,Barguna Sadar,Barguna,Barisal,Bangladesh,55.06841249
Machh Para,Pangsha,Rajbari,Dhaka,Bangladesh,20.05791697
Machhihata,Brahmanbaria Sadar,Brahamanbaria,Chittagong,Bangladesh,32.64226413
Madan,Madan,Netrakona,Mymensingh,Bangladesh,24.97255548
Madan Paurashava,Madan,Netrakona,Mymensingh,Bangladesh,9.218851536
Madankhali,Pirganj,Rangpur,Rangpur,Bangladesh,28.9533365
Madanpur,Daulatkhan,Bhola,Barisal,Bangladesh,12.7794428
Madanpur,Bandar,Narayanganj,Dhaka,Bangladesh,7.275670383
Madanpur,Netrokona Sadar,Netrakona,Mymensingh,Bangladesh,20.67712175
Madanpura,Bauphal,Patuakhali,Barisal,Bangladesh,21.5311949
Madapur,Kalukhali,Rajbari,Dhaka,Bangladesh,22.10489856
Madarbunia,Patuakhali Sadar,Patuakhali,Barisal,Bangladesh,30.58453924
Madarganj Paurashava,Madarganj,Jamalpur,Mymensingh,Bangladesh,12.4685042
Madaripur Paurashava,Madaripur Sadar,Madaripur,Dhaka,Bangladesh,9.703609588
Madarsa,Satkania,Chittagong,Chittagong,Bangladesh,21.15706037
Madati,Kaliganj,Lalmonirhat,Rangpur,Bangladesh,36.68362044
Madhab Pasha,Babuganj,Barisal,Barisal,Bangladesh,28.26141188
Madhabdi Paurashava,Narsingdi Sadar,Narsingdi,Dhaka,Bangladesh,6.739645943
Madhabkhali,Mirzaganj,Patuakhali,Barisal,Bangladesh,29.24583618
Madhabpur,Brahman Para,Comilla,Chittagong,Bangladesh,27.52373967
Madhabpur,Kamalganj,Maulvibazar,Sylhet,Bangladesh,63.32320777
Madhabpur Paurashava,Madhabpur,Habiganj,Sylhet,Bangladesh,4.733252777
Madhainagar,Tarash,Sirajganj,Rajshahi,Bangladesh,33.8695789
Madhnagar,Natore Sadar,Natore,Rajshahi,Bangladesh,30.34372264
Madhuhati,Jhenaidah Sadar,Jhenaidah,Khulna,Bangladesh,36.82313486
Madhukhali,Madhukhali,Faridpur,Dhaka,Bangladesh,27.65249453
Madhupur,Terokhada,Khulna,Khulna,Bangladesh,48.86945193
Madhupur,Sonatola,Bogra,Rajshahi,Bangladesh,16.9250237
Madhupur,Badarganj,Rangpur,Rangpur,Bangladesh,27.77195217
Madhupur Paurashava,Madhupur,Tangail,Dhaka,Bangladesh,22.73399274
Madhya (mechachal Union),Chandina,Comilla,Chittagong,Bangladesh,14.72932666
Madhyanagar,Dharampasha,Sunamganj,Sylhet,Bangladesh,44.3957516
Madhyapara,Kaliakair,Gazipur,Dhaka,Bangladesh,34.83653169
Madhyapara,Serajdikhan,Munshiganj,Dhaka,Bangladesh,7.31199055
Madla,Shajahanpur,Bogra,Rajshahi,Bangladesh,19.44571294
Magar,Nalchity,Jhalokati,Barisal,Bangladesh,16.95467828
Magban,Rangamati Sadar,Rangamati,Chittagong,Bangladesh,92.69823974
Magdhara,Sandwip,Chittagong,Chittagong,Bangladesh,79.72268731
Maghadia,Mirsharai,Chittagong,Chittagong,Bangladesh,1.417147185
Maghan,Madan,Netrakona,Mymensingh,Bangladesh,33.55975456
Maghan Siadhar,Mohanganj,Netrakona,Mymensingh,Bangladesh,35.39818023
Maghi,Magura Sadar,Magura,Khulna,Bangladesh,35.31028726
Maghia,Kachua,Bagerhat,Khulna,Bangladesh,21.60078488
Magnama,Pekua,Cox's Bazar,Chittagong,Bangladesh,20.97281204
Magra,Tangail Sadar,Tangail,Dhaka,Bangladesh,20.7060606
Magtala,Ishwarganj,Mymensingh,Mymensingh,Bangladesh,23.88798429
Magura,Jhikargachha,Jessore,Khulna,Bangladesh,31.09726227
Magura,Tala,Satkhira,Khulna,Bangladesh,26.02824897
Magura,Kishoreganj,Nilphamari,Rangpur,Bangladesh,21.68645641
Magura,Panchagarh Sadar,Panchagarh,Rangpur,Bangladesh,32.99357542
Magura Binod,Tarash,Sirajganj,Rajshahi,Bangladesh,35.61545648
Magura Paurashava,Magura Sadar,Magura,Khulna,Bangladesh,48.92177334
Maguraghona,Dumuria,Khulna,Khulna,Bangladesh,21.12036645
Magurkhali,Dumuria,Khulna,Khulna,Bangladesh,41.54773436
Mahadan,Sarishabari,Jamalpur,Mymensingh,Bangladesh,28.87514389
Mahadebpur,Mahadebpur,Naogaon,Rajshahi,Bangladesh,40.4656248
Mahajanpur,Mujib Nagar,Meherpur,Khulna,Bangladesh,26.27097794
Mahakali,Munshiganj Sadar,Munshiganj,Dhaka,Bangladesh,9.849552052
Mahalchhari,Mahalchhari,Khagrachhari,Chittagong,Bangladesh,58.61124224
Mahamudnagar,Tangail Sadar,Tangail,Dhaka,Bangladesh,16.77298467
Maharajpur,Muksudpur,Gopalganj,Dhaka,Bangladesh,21.36129963
Maharajpur,Koyra,Khulna,Khulna,Bangladesh,42.44166378
Maharajpur,Nawabganj Sadar,Nawabganj,Rajshahi,Bangladesh,6.363031176
Mahendranagar,Lalmonirhat Sadar,Lalmonirhat,Rangpur,Bangladesh,32.84644002
Mahera,Mirzapur,Tangail,Dhaka,Bangladesh,17.30604823
Maheshkhali Paurashava,Maheshkhali,Cox's Bazar,Chittagong,Bangladesh,7.687191865
Maheshpur,Kashiani,Gopalganj,Dhaka,Bangladesh,35.66521132
Maheshpur,Roypura,Narsingdi,Dhaka,Bangladesh,9.415155383
Maheshpur Paurashava,Maheshpur,Jhenaidah,Khulna,Bangladesh,11.76512209
Maheshwaripur,Koyra,Khulna,Khulna,Bangladesh,51.88665688
Mahichal,Chandina,Comilla,Chittagong,Bangladesh,14.77463142
Mahilara,Gaurnadi,Barisal,Barisal,Bangladesh,13.52254642
Mahimaganj,Gobindaganj,Gaibandha,Rangpur,Bangladesh,24.24750315
Mahinanda,Kishoreganj Sadar,Kishoreganj,Dhaka,Bangladesh,10.96435402
Mahisar,Bhedarganj,Shariatpur,Dhaka,Bangladesh,10.81691262
Mahishaban,Gabtali,Bogra,Rajshahi,Bangladesh,23.60288407
Mahishasura,Narsingdi Sadar,Narsingdi,Dhaka,Bangladesh,15.36220001
Mahishkhocha,Aditmari,Lalmonirhat,Rangpur,Bangladesh,21.83884498
Mahmudpur,Dohar,Dhaka,Dhaka,Bangladesh,37.03299859
Mahmudpur,Araihazar,Narayanganj,Dhaka,Bangladesh,10.49050068
Mahmudpur,Melandaha,Jamalpur,Mymensingh,Bangladesh,34.02851811
Mahmudpur,Nawabganj,Dinajpur,Rangpur,Bangladesh,37.55911118
Maidan Dighi,Boda,Panchagarh,Rangpur,Bangladesh,29.13032386
Maidang,Jurai Chhari,Rangamati,Chittagong,Bangladesh,136.1538844
Maidanhata,Shibganj,Bogra,Rajshahi,Bangladesh,25.75694589
Maij Char,Bajitpur,Kishoreganj,Dhaka,Bangladesh,25.40100177
Maij Khapan,Kishoreganj Sadar,Kishoreganj,Dhaka,Bangladesh,19.92685446
Maij Para Union,Narail Sadar,Narail,Khulna,Bangladesh,30.21279951
Maijbagh,Ishwarganj,Mymensingh,Mymensingh,Bangladesh,31.16269502
Maijbari,Kazipur,Sirajganj,Rajshahi,Bangladesh,18.18237836
Maijgaon,Fenchuganj,Sylhet,Sylhet,Bangladesh,28.37981864
Maijkhara,Chandina,Comilla,Chittagong,Bangladesh,30.05068569
Mailakanda,Gauripur,Mymensingh,Mymensingh,Bangladesh,25.2526599
Mainamati,Burichang,Comilla,Chittagong,Bangladesh,20.65213939
Mainani,Manda,Naogaon,Rajshahi,Bangladesh,24.61870705
Maisatua,Manoharganj,Comilla,Chittagong,Bangladesh,16.16366649
Maishadi,Chandpur Sadar,Chandpur,Chittagong,Bangladesh,11.49032058
Maitbhanga,Sandwip,Chittagong,Chittagong,Bangladesh,11.48600698
Majchar,Faridpur Sadar,Faridpur,Dhaka,Bangladesh,28.46776362
Majgaon,Baraigram,Natore,Rajshahi,Bangladesh,43.39097624
Majh Para,Atgharia,Pabna,Rajshahi,Bangladesh,40.47406977
Majhardia,Saltha,Faridpur,Dhaka,Bangladesh,19.48673393
Majhbari,Kalukhali,Rajbari,Dhaka,Bangladesh,20.88352659
Majhigati,Gopalganj Sadar,Gopalganj,Dhaka,Bangladesh,11.2715143
Majhihatta,Shibganj,Bogra,Rajshahi,Bangladesh,28.49677263
Majhira,Shajahanpur,Bogra,Rajshahi,Bangladesh,11.80106525
Majidbari,Mirzaganj,Patuakhali,Barisal,Bangladesh,28.78926119
Majidpur,Titas,Comilla,Chittagong,Bangladesh,18.14667261
Majidpur,Keshabpur,Jessore,Khulna,Bangladesh,24.31979213
Majlishpur,Brahmanbaria Sadar,Brahamanbaria,Chittagong,Bangladesh,18.93640577
Makrampur,Baniachong,Habiganj,Sylhet,Bangladesh,35.54012632
Malancha,Kahaloo,Bogra,Rajshahi,Bangladesh,35.92993472
Malanchi,Pabna Sadar,Pabna,Rajshahi,Bangladesh,25.29934919
Malapara,Brahman Para,Comilla,Chittagong,Bangladesh,10.43758228
Maliat,Kaliganj,Jhenaidah,Khulna,Bangladesh,23.68365273
Malibari,Gaibandha Sadar,Gaibandha,Rangpur,Bangladesh,21.53941614
Maligachha,Pabna Sadar,Pabna,Rajshahi,Bangladesh,34.20894246
Malihad,Mirpur,Kushtia,Khulna,Bangladesh,31.78081114
Malijhikanda,Jhenaigati,Sherpur,Mymensingh,Bangladesh,20.30848861
Malikhali,Nazirpur,Pirojpur,Barisal,Bangladesh,30.95616242
Malkhanagar,Serajdikhan,Munshiganj,Dhaka,Bangladesh,4.489265487
Mallikbari,Bhaluka,Mymensingh,Mymensingh,Bangladesh,45.16613826
Malliker Ber,Rampal,Bagerhat,Khulna,Bangladesh,27.53741041
Mallikpur,Lohagara,Narail,Khulna,Bangladesh,19.22710132
Mamudnagar,Nagarpur,Tangail,Dhaka,Bangladesh,33.14792259
Mamudpur,Kashiani,Gopalganj,Dhaka,Bangladesh,15.71238405
Mamudpur,Khetlal,Joypurhat,Rajshahi,Bangladesh,30.84451633
Manakosa,Shibganj,Nawabganj,Rajshahi,Bangladesh,46.67540466
Manda,Sabujbagh,Dhaka,Dhaka,Bangladesh,1.373328097
Manda,Manda,Naogaon,Rajshahi,Bangladesh,25.77983251
Mandari,Lakshmipur Sadar,Lakshmipur,Chittagong,Bangladesh,21.92633045
Mandari,Baniachong,Habiganj,Sylhet,Bangladesh,34.1764834
Manderbari,Maheshpur,Jhenaidah,Khulna,Bangladesh,29.14282513
Mangalkandi,Sonagazi,Feni,Chittagong,Bangladesh,13.23111059
Mangalkot,Keshabpur,Jessore,Khulna,Bangladesh,23.83807232
Mangalpur,Biral,Dinajpur,Rangpur,Bangladesh,30.13469155
Maniand,Akhaura,Brahamanbaria,Chittagong,Bangladesh,21.86758806
Maniari,Atrai,Naogaon,Rajshahi,Bangladesh,49.83877064
Manigram,Bagha,Rajshahi,Rajshahi,Bangladesh,37.77461825
Manikchhari,Manikchhari,Khagrachhari,Chittagong,Bangladesh,68.06808652
Manikdaha,Bhanga,Faridpur,Dhaka,Bangladesh,19.2441208
Maniker Char,Meghna,Comilla,Chittagong,Bangladesh,9.885967929
Manikganj Paurashava,Manikganj Sadar,Manikganj,Dhaka,Bangladesh,22.40979166
Manikhat,Sujanagar,Pabna,Rajshahi,Bangladesh,26.65632099
Manikpur,Zakiganj,Sylhet,Sylhet,Bangladesh,38.77792308
Manirampur,Manirampur,Jessore,Khulna,Bangladesh,15.90961364
Manirampur Paurashava,Manirampur,Jessore,Khulna,Bangladesh,13.99874823
Mankon,Muktagachha,Mymensingh,Mymensingh,Bangladesh,30.90996273
Manmathapur,Parbatipur,Dinajpur,Rangpur,Bangladesh,38.23825184
Mannargaon,Dowarabazar,Sunamganj,Sylhet,Bangladesh,35.31488859
Manohardi Paurashava,Manohardi,Narsingdi,Dhaka,Bangladesh,5.229723963
Manohardia,Kushtia Sadar,Kushtia,Khulna,Bangladesh,21.37599593
Manoharpur,Manirampur,Jessore,Khulna,Bangladesh,17.35051792
Manoharpur,Shailkupa,Jhenaidah,Khulna,Bangladesh,19.40663936
Manoharpur,Palashbari,Gaibandha,Rangpur,Bangladesh,20.87293868
Manpura,Manpura,Bhola,Barisal,Bangladesh,45.92701849
Mansur Nagar,Kazipur,Sirajganj,Rajshahi,Bangladesh,38.28721614
Mansurnagar,Rajnagar,Maulvibazar,Sylhet,Bangladesh,18.53962899
Manumukh,Maulvi Bazar Sadar,Maulvibazar,Sylhet,Bangladesh,17.21825852
Maoha,Gauripur,Mymensingh,Mymensingh,Bangladesh,27.13442392
Maona,Sreepur,Gazipur,Dhaka,Bangladesh,79.48822769
Marania,Gangachara,Rangpur,Rangpur,Bangladesh,19.67535667
Marea Bamanhat,Boda,Panchagarh,Rangpur,Bangladesh,29.75447841
Maria,Kishoreganj Sadar,Kishoreganj,Dhaka,Bangladesh,12.49007147
Maria,Baghmara,Rajshahi,Rajshahi,Bangladesh,19.94725469
Maria,Durgapur,Rajshahi,Rajshahi,Bangladesh,16.08350187
Mariamnagar,Rangunia,Chittagong,Chittagong,Bangladesh,5.479080963
Maricha,Daulatpur,Kushtia,Khulna,Bangladesh,48.70677243
Maricha,Birganj,Dinajpur,Rangpur,Bangladesh,37.62543479
Marichbunia,Patuakhali Sadar,Patuakhali,Barisal,Bangladesh,28.1172208
Marichpura,Nalitabari,Sherpur,Mymensingh,Bangladesh,22.68203865
Marishya,Baghai Chhari,Rangamati,Chittagong,Bangladesh,48.55372392
Marjal,Roypura,Narsingdi,Dhaka,Bangladesh,12.76097703
Maruka,Daudkandi,Comilla,Chittagong,Bangladesh,12.50612233
Maschhari,Mahalchhari,Khagrachhari,Chittagong,Bangladesh,31.01335777
Mashakhali,Gaffargaon,Mymensingh,Mymensingh,Bangladesh,30.99722556
Mashka,Kendua,Netrakona,Mymensingh,Bangladesh,23.15511196
Masidpur,Porsha,Naogaon,Rajshahi,Bangladesh,40.68487315
Masimpur,Shibpur,Narsingdi,Dhaka,Bangladesh,22.85293315
Masua,Katiadi,Kishoreganj,Dhaka,Bangladesh,20.68197204
Masundia,Bera,Pabna,Rajshahi,Bangladesh,29.51951106
Maswimnagar,Manirampur,Jessore,Khulna,Bangladesh,30.41349236
Matabi,Feni Sadar,Feni,Chittagong,Bangladesh,15.44006857
Matarbari,Maheshkhali,Cox's Bazar,Chittagong,Bangladesh,26.00637371
Matbarer Char,Shib Char,Madaripur,Dhaka,Bangladesh,20.85603317
Mathabanga,Homna,Comilla,Chittagong,Bangladesh,13.44687709
Mathbari,Rajapur,Jhalokati,Barisal,Bangladesh,25.33333927
Mathbari,Trishal,Mymensingh,Mymensingh,Bangladesh,37.65791761
Mathbaria,Mathbaria,Pirojpur,Barisal,Bangladesh,21.40360475
Mathiura,Beani Bazar,Sylhet,Sylhet,Bangladesh,14.74428967
Mathu Bhuiyan,Daganbhuiyan,Feni,Chittagong,Bangladesh,13.28395772
Mathurapur,Daulatpur,Kushtia,Khulna,Bangladesh,25.11966496
Mathurapur,Dhunat,Bogra,Rajshahi,Bangladesh,27.54623718
Mathurapur,Badalgachhi,Naogaon,Rajshahi,Bangladesh,26.60736348
Mathureshpur,Kaliganj,Satkhira,Khulna,Bangladesh,33.09462019
Matibhanga,Nazirpur,Pirojpur,Barisal,Bangladesh,23.81237599
Matiganj,Sonagazi,Feni,Chittagong,Bangladesh,12.68374315
Matikata,Godagari,Rajshahi,Rajshahi,Bangladesh,30.96484609
Matindhar,Patnitala,Naogaon,Rajshahi,Bangladesh,38.26664496
Matiranga,Matiranga,Khagrachhari,Chittagong,Bangladesh,130.816225
Matiranga Paurashava,Matiranga,Khagrachhari,Chittagong,Bangladesh,13.63245122
Matlab Paurashava,Matlab Dakshin,Chandpur,Chittagong,Bangladesh,30.59157718
Matmura,Gangni,Meherpur,Khulna,Bangladesh,47.34333392
Matrai,Kalai,Joypurhat,Rajshahi,Bangladesh,38.83918553
Matuail (part),Demra,Dhaka,Dhaka,Bangladesh,1.955111593
Matuail (part),Jatrabari,Dhaka,Dhaka,Bangladesh,8.580954604
Matuail (part),Kadamtali,Dhaka,Dhaka,Bangladesh,1.431286136
Maugachhi,Mohanpur,Rajshahi,Rajshahi,Bangladesh,30.40980488
Maugati,Netrokona Sadar,Netrakona,Mymensingh,Bangladesh,28.8113238
Mauli,Kalia,Narail,Khulna,Bangladesh,18.68472231
Maulvibazar Paurashava,Maulvi Bazar Sadar,Maulvibazar,Sylhet,Bangladesh,3.67260451
Maurat,Pangsha,Rajbari,Dhaka,Bangladesh,22.91632647
Mautala,Kaliganj,Satkhira,Khulna,Bangladesh,16.93924189
Mayani,Mirsharai,Chittagong,Chittagong,Bangladesh,7.553861358
Mayanimukh,Langadu,Rangamati,Chittagong,Bangladesh,64.72574492
Mayenpur,Mitha Pukur,Rangpur,Rangpur,Bangladesh,30.80169457
Mazampur,Kushtia Sadar,Kushtia,Khulna,Bangladesh,9.404025371
Mechhra,Sirajganj Sadar,Sirajganj,Rajshahi,Bangladesh,51.9550002
Medini Mandal,Lohajang,Munshiganj,Dhaka,Bangladesh,18.12345753
Medni,Netrokona Sadar,Netrakona,Mymensingh,Bangladesh,26.26485959
Medua,Daulatkhan,Bhola,Barisal,Bangladesh,5.181030014
Meduary,Bhaluka,Mymensingh,Mymensingh,Bangladesh,34.90000677
Megchami,Madhukhali,Faridpur,Dhaka,Bangladesh,29.67261339
Mehari,Kasba,Brahamanbaria,Chittagong,Bangladesh,33.8351133
Mehendiganj,Mehendiganj,Barisal,Barisal,Bangladesh,11.0526787
Meher Para,Narsingdi Sadar,Narsingdi,Dhaka,Bangladesh,9.210832394
Meherpur Paurashava,Meherpur Sadar,Meherpur,Khulna,Bangladesh,13.67421202
Mekhal,Hathazari,Chittagong,Chittagong,Bangladesh,11.07361528
Melandaha Paurashava,Melandaha,Jamalpur,Mymensingh,Bangladesh,12.92014351
Memania,Hizla,Barisal,Barisal,Bangladesh,32.51510183
Mendipur,Khaliajuri,Netrakona,Mymensingh,Bangladesh,49.48619901
Merung,Dighinala,Khagrachhari,Chittagong,Bangladesh,132.12885
Merur Char,Bakshiganj,Jamalpur,Mymensingh,Bangladesh,37.94964789
Meshta,Jamalpur Sadar,Jamalpur,Mymensingh,Bangladesh,26.43037209
Milanpur,Mitha Pukur,Rangpur,Rangpur,Bangladesh,24.66295145
Mir Warishpur,Begumganj,Noakhali,Chittagong,Bangladesh,11.45181309
Mirahi,Chunarughat,Habiganj,Sylhet,Bangladesh,28.01630743
Mirat,Raninagar,Naogaon,Rajshahi,Bangladesh,27.75474117
Mirganj,Jaldhaka,Nilphamari,Rangpur,Bangladesh,20.47116448
Mirkadim Paurashava,Munshiganj Sadar,Munshiganj,Dhaka,Bangladesh,5.258942786
Mirpur,Bahubal,Habiganj,Sylhet,Bangladesh,12.6100864
Mirpur,Jagannathpur,Sunamganj,Sylhet,Bangladesh,27.6832777
Mirpur Paurashava,Mirpur,Kushtia,Khulna,Bangladesh,11.59353487
Mirsharai,Mirsharai,Chittagong,Chittagong,Bangladesh,16.62897503
Mirsharai Paurashava,Mirsharai,Chittagong,Chittagong,Bangladesh,15.60787814
Mirukhali,Mathbaria,Pirojpur,Barisal,Bangladesh,32.37951469
Mirzabari,Madhupur,Tangail,Dhaka,Bangladesh,18.89414875
Mirzaganj,Mirzaganj,Patuakhali,Barisal,Bangladesh,33.01255093
Mirzanagar,Parshuram,Feni,Chittagong,Bangladesh,25.49641104
Mirzanagar,Roypura,Narsingdi,Dhaka,Bangladesh,9.513662915
Mirzapur,Hathazari,Chittagong,Chittagong,Bangladesh,34.21191645
Mirzapur,Gazipur Sadar,Gazipur,Dhaka,Bangladesh,96.95203475
Mirzapur,Roypura,Narsingdi,Dhaka,Bangladesh,12.62169524
Mirzapur,Gopalpur,Tangail,Dhaka,Bangladesh,22.82370365
Mirzapur,Shailkupa,Jhenaidah,Khulna,Bangladesh,35.18917699
Mirzapur,Sherpur,Bogra,Rajshahi,Bangladesh,23.04090033
Mirzapur,Atwari,Panchagarh,Rangpur,Bangladesh,36.32745709
Mirzapur,Mitha Pukur,Rangpur,Rangpur,Bangladesh,30.97790951
Mirzapur,Sreemangal,Maulvibazar,Sylhet,Bangladesh,44.14686716
Mirzapur Paurashava,Mirzapur,Tangail,Dhaka,Bangladesh,7.187071647
Mirzar Char,Roypura,Narsingdi,Dhaka,Bangladesh,8.908235746
Mithaganj,Kala Para,Patuakhali,Barisal,Bangladesh,30.89027192
Mithakhali,Mongla,Bagerhat,Khulna,Bangladesh,34.54715802
Mithamain,Mithamain,Kishoreganj,Dhaka,Bangladesh,36.74543619
Mithanala,Mirsharai,Chittagong,Chittagong,Bangladesh,21.74110659
Mithapur,Badalgachhi,Naogaon,Rajshahi,Bangladesh,20.83482557
Mithapur,Pirganj,Rangpur,Rangpur,Bangladesh,27.80547817
