Union/Municipalities,Upzila,District,Division,Country,AREA_SQKM
Amua,Kanthalia,Jhalokati,Barisal,Bangladesh,24.78409671
Amura,Golabganj,Sylhet,Sylhet,Bangladesh,20.80106088
Anaitara,Mirzapur,Tangail,Dhaka,Bangladesh,23.04318711
Anandapur,Fulgazi,Feni,Chittagong,Bangladesh,11.65547937
Anderchar,Noakhali Sadar (Sudharam),Noakhali,Chittagong,Bangladesh,23.06050517
Andhar Manik,Mehendiganj,Barisal,Barisal,Bangladesh,23.53666859
Andhari Jhar,Bhurungamari,Kurigram,Rangpur,Bangladesh,27.73642206
Andikot,Muradnagar,Comilla,Chittagong,Bangladesh,28.75078063
Andiurauk,Madhabpur,Habiganj,Sylhet,Bangladesh,20.79950423
Andulbaria,Jiban Nagar,Chuadanga,Khulna,Bangladesh,35.82509638
Anehola,Ghatail,Tangail,Dhaka,Bangladesh,22.81472975
Angar Para,Khansama,Dinajpur,Rangpur,Bangladesh,27.3091632
Angaria,Dumki,Patuakhali,Barisal,Bangladesh,16.31600187
Angaria,Shariatpur Sadar,Shariatpur,Dhaka,Bangladesh,21.67753043
Annadanagar,Pirgachha,Rangpur,Rangpur,Bangladesh,27.28045147
Anowara,Anowara,Chittagong,Chittagong,Bangladesh,8.213612957
Anulia,Assasuni,Satkhira,Khulna,Bangladesh,28.7380064
Aolai,Panchbibi,Joypurhat,Rajshahi,Bangladesh,48.14338543
Aona,Sarishabari,Jamalpur,Mymensingh,Bangladesh,31.96378067
Aorail,Sarail,Brahamanbaria,Chittagong,Bangladesh,27.11597463
Arabpur,Kotwali,Jessore,Khulna,Bangladesh,22.85720087
Araibaria,Hossainpur,Kishoreganj,Dhaka,Bangladesh,11.27710316
Araihazar,Araihazar,Narayanganj,Dhaka,Bangladesh,9.167119787
Araisidha,Ashuganj,Brahamanbaria,Chittagong,Bangladesh,6.652730362
Aranagar,Dhamoirhat,Naogaon,Rajshahi,Bangladesh,38.5840192
Aranghata,Daulatpur,Khulna,Khulna,Bangladesh,3.235940639
Arani,Bagha,Rajshahi,Rajshahi,Bangladesh,14.15695217
Arani Paurashava,Bagha,Rajshahi,Rajshahi,Bangladesh,6.609832251
Arankhola,Madhupur,Tangail,Dhaka,Bangladesh,162.2749714
Arbab,Lalpur,Natore,Rajshahi,Bangladesh,43.17853835
Aria,Daulatpur,Kushtia,Khulna,Bangladesh,33.09345024
Aria,Shajahanpur,Bogra,Rajshahi,Bangladesh,25.18050815
Arial,Tongibari,Munshiganj,Dhaka,Bangladesh,16.24656619
Arjuna,Bhuapur,Tangail,Dhaka,Bangladesh,41.00320759
Arjunpur Boromhati,Lalpur,Natore,Rajshahi,Bangladesh,23.05309899
Arjuntala,Senbagh,Noakhali,Chittagong,Bangladesh,14.65812768
Arpangashia,Amtali,Barguna,Barisal,Bangladesh,23.06079722
Arpara,Shalikha,Magura,Khulna,Bangladesh,26.60721384
Arshi Nagar,Bhedarganj,Shariatpur,Dhaka,Bangladesh,20.90288387
Arua,Shibalaya,Manikganj,Dhaka,Bangladesh,19.04550379
Asad Pur,Homna,Comilla,Chittagong,Bangladesh,12.5796397
Asekpur,Shajahanpur,Bogra,Rajshahi,Bangladesh,25.71012789
Asharkandi,Jagannathpur,Sunamganj,Sylhet,Bangladesh,51.31625359
Ashidron,Sreemangal,Maulvibazar,Sylhet,Bangladesh,50.37184541
Ashikati,Chandpur Sadar,Chandpur,Chittagong,Bangladesh,12.30921405
Ashrafpur,Kachua,Chandpur,Chittagong,Bangladesh,21.55607284
Ashta Manisha,Bhangura,Pabna,Rajshahi,Bangladesh,18.45491482
Ashtadhar,Mymensingh Sadar,Mymensingh,Mymensingh,Bangladesh,26.64247465
Ashtamir Char,Chilmari,Kurigram,Rangpur,Bangladesh,75.09715549
Ashugang,Ashuganj,Brahamanbaria,Chittagong,Bangladesh,10.99345696
